date;ledige i pct
2007M01;04.03
2007M02;04.01
2007M03;03.09
2007M04;03.09
2007M05;03.08
2007M06;03.06
2007M07;03.06
2007M08;03.05
2007M09;03.04
2007M10;03.02
2007M11;03.01
2007M12;03.00
2008M01;02.09
2008M02;02.07
2008M03;02.06
2008M04;02.05
2008M05;02.04
2008M06;02.04
2008M07;02.05
2008M08;02.05
2008M09;02.06
2008M10;02.07
2008M11;02.09
2008M12;03.01
2009M01;03.04
2009M02;03.07
2009M03;04.01
2009M04;04.05
2009M05;04.07
2009M06;05.00
2009M07;05.00
2009M08;05.02
2009M09;05.04
2009M10;05.06
2009M11;05.07
2009M12;05.07
2010M01;05.09
2010M02;06.00
2010M03;06.01
2010M04;06.00
2010M05;06.00
2010M06;06.01
2010M07;06.01
2010M08;06.02
2010M09;06.01
2010M10;06.01
2010M11;06.00
2010M12;06.01
2011M01;06.01
2011M02;06.00
2011M03;06.00
2011M04;05.09
2011M05;06.00
2011M06;06.00
2011M07;06.00
2011M08;06.00
2011M09;05.09
2011M10;05.09
2011M11;05.08
2011M12;05.08
2012M01;05.09
2012M02;06.00
2012M03;06.01
2012M04;06.02
2012M05;06.02
2012M06;06.02
2012M07;06.01
2012M08;06.01
2012M09;06.01
2012M10;06.00
2012M11;06.00
2012M12;06.00
2013M01;05.09
2013M02;05.09
2013M03;05.09
2013M04;06.00
2013M05;05.08
2013M06;05.08
2013M07;05.07
2013M08;05.07
2013M09;05.06
2013M10;05.06
2013M11;05.06
2013M12;05.06
2014M01;05.02
2014M02;05.02
2014M03;05.01
2014M04;05.01
2014M05;05.00
2014M06;05.00
2014M07;05.00
2014M08;04.09
2014M09;04.09
2014M10;04.09
2014M11;04.08
2014M12;04.08
2015M01;04.07
2015M02;04.07
2015M03;04.07
2015M04;04.07
2015M05;04.07
2015M06;04.06
2015M07;04.05
2015M08;04.05
2015M09;04.04
2015M10;04.04
2015M11;04.03
2015M12;04.03
2016M01;04.02
2016M02;04.02
2016M03;04.02
2016M04;04.01
2016M05;04.01
2016M06;04.01
2016M07;04.01
2016M08;04.00
2016M09;04.01
2016M10;04.01
2016M11;04.01
2016M12;04.02
2017M01;04.02
2017M02;04.02
2017M03;04.02
2017M04;04.02
2017M05;04.02
2017M06;04.02
2017M07;04.03
2017M08;04.03
2017M09;04.02
2017M10;04.02
2017M11;04.01
2017M12;04.01
2018M01;04.00
2018M02;03.09
2018M03;04.00
2018M04;03.09
2018M05;03.09
2018M06;03.08
2018M07;03.08
2018M08;03.08
2018M09;03.08
2018M10;03.08
2018M11;03.08
2018M12;03.07
2019M01;03.07
2019M02;03.06
2019M03;03.06
2019M04;03.06
2019M05;03.06
2019M06;03.06
2019M07;03.06
2019M08;03.07
2019M09;03.07
2019M10;03.07
2019M11;03.07
2019M12;03.07
2020M01;03.07
2020M02;03.06
2020M03;04.01
2020M04;05.03
2020M05;05.05
2020M06;05.04
2020M07;05.00
2020M08;04.07
2020M09;04.08
2020M10;04.07
2020M11;04.06
2020M12;04.05
2021M01;04.04
2021M02;04.05
2021M03;04.03
2021M04;04.01
2021M05;03.09
2021M06;03.07
2021M07;03.05
2021M08;03.03
2021M09;03.02
2021M10;03.00
2021M11;02.08
2021M12;02.06
2022M01;02.05
2022M02;02.05
2022M03;02.04
2022M04;02.04
2022M05;02.04
2022M06;02.05
2022M07;02.06
2022M08;02.06
2022M09;02.06
2022M10;02.06
2022M11;02.06
2022M12;02.07
2023M01;02.07
2023M02;02.07
2023M03;02.07
2023M04;02.07
2023M05;02.07
2023M06;02.08
2023M07;02.08
2023M08;02.08
2023M09;02.08
2023M10;02.08
2023M11;02.08
2023M12;02.09
2024M01;02.09
2024M02;02.09
2024M03;02.09
2024M04;02.09
2024M05;02.09
2024M06;02.09
2024M07;02.09
2024M08;02.09
2024M09;02.09
2024M10;02.09
2024M11;02.09
2024M12;02.09
2025M01;02.09
2025M02;02.09