date;Medlemmer af Folkekirken
2007K1;4499343
2007K2;4496926
2007K3;4497951
2007K4;4498876
2008K1;4494589
2008K2;4493187
2008K3;4493841
2008K4;4494202
2009K1;4490121
2009K2;4485275
2009K3;4485682
2009K4;4484368
2010K1;4479214
2010K2;4474553
2010K3;4474541
2010K4;4473576
2011K1;4469109
2011K2;4464103
2011K3;4463981
2011K4;4461071
2012K1;4454466
2012K2;4446782
2012K3;4441741
2012K4;4437149
2013K1;4430643
2013K2;4423967
2013K3;4421511
2013K4;4418730
2014K1;4413825
2014K2;4409203
2014K3;4408785
2014K4;4405646
2015K1;4400754
2015K2;4395559
2015K3;4394869
2015K4;4392375
2016K1;4387571
2016K2;4382022
2016K3;4373468
2016K4;4368185
2017K1;4361518
2017K2;4353984
2017K3;4352610
2017K4;4349449
2018K1;4352507
2018K2;4347018
2018K3;4346648
2018K4;4344326
2019K1;4339511
2019K2;4334981
2019K3;4334713
2019K4;4332110
2020K1;4327018
2020K2;4321796
2020K3;4314981
2020K4;4316266
2021K1;4311333
2021K2;4300979
2021K3;4299805
2021K4;4301568
2022K1;4296800
2022K2;4288952
2022K3;4289240
2022K4;4284198
2023K1;4276271
2023K2;4267949
2023K3;4265806
2023K4;4262191
2024K1;4253575
2024K2;4246873
2024K3;4245853
2024K4;4241820
2025K1;4234315